"dht11_umidade";"lm35_temperatura";"DtLeitura"
59.95;2.24;"2024-04-18 13:46:53"
59.95;2.2;"2024-04-18 13:46:55"
61.04;2.24;"2024-04-18 13:46:56"
61.04;2.24;"2024-04-18 13:46:58"
59.95;2.24;"2024-04-18 13:46:59"
59.95;2.2;"2024-04-18 13:47:01"
59.95;2.24;"2024-04-18 13:47:02"
59.95;2.24;"2024-04-18 13:47:04"
59.95;2.24;"2024-04-18 13:47:05"
59.95;2.24;"2024-04-18 13:47:07"
61.04;2.24;"2024-04-18 13:47:08"
61.04;2.24;"2024-04-18 13:47:10"
61.04;2.24;"2024-04-18 13:47:11"
61.04;2.24;"2024-04-18 13:47:13"
61.04;2.2;"2024-04-18 13:47:14"
61.04;2.24;"2024-04-18 13:47:16"
61.04;2.24;"2024-04-18 13:47:17"
61.04;2.24;"2024-04-18 13:47:19"
61.04;2.24;"2024-04-18 13:47:20"
61.04;2.24;"2024-04-18 13:47:22"
61.04;2.24;"2024-04-18 13:47:23"
61.04;2.24;"2024-04-18 13:47:25"
61.04;2.24;"2024-04-18 13:47:26"
61.04;2.24;"2024-04-18 13:47:28"
61.04;2.24;"2024-04-18 13:47:29"
61.04;2.24;"2024-04-18 13:47:31"
62.13;2.24;"2024-04-18 13:47:33"
62.13;2.24;"2024-04-18 13:47:34"
62.13;2.24;"2024-04-18 13:47:36"
62.13;2.24;"2024-04-18 13:47:37"
62.13;2.24;"2024-04-18 13:47:39"
62.13;2.29;"2024-04-19 16:05:18"
62.13;2.29;"2024-04-19 16:05:19"
62.13;2.29;"2024-04-19 16:05:20"
62.13;2.29;"2024-04-19 16:05:22"
62.13;2.29;"2024-04-19 16:05:23"
62.13;2.29;"2024-04-19 16:05:25"
62.13;2.29;"2024-04-19 16:05:26"
62.13;2.29;"2024-04-19 16:05:28"
61.04;2.29;"2024-04-19 16:05:30"
61.04;2.29;"2024-04-19 16:05:31"
61.04;2.34;"2024-04-19 16:05:33"
61.04;2.29;"2024-04-19 16:05:34"
61.04;2.29;"2024-04-19 16:05:36"
61.04;2.29;"2024-04-19 16:05:37"
61.04;2.29;"2024-04-19 16:05:39"
61.04;2.29;"2024-04-19 16:05:40"
61.04;2.34;"2024-04-19 16:05:42"
61.04;2.29;"2024-04-19 16:05:43"
61.04;2.29;"2024-04-19 16:05:45"
61.04;2.29;"2024-04-19 16:05:46"
61.04;2.29;"2024-04-19 16:05:48"
61.04;2.29;"2024-04-19 16:05:49"
61.04;2.29;"2024-04-19 16:05:51"
61.04;2.29;"2024-04-19 16:05:52"
61.04;2.29;"2024-04-19 16:05:54"
61.04;2.29;"2024-04-19 16:05:55"
61.04;2.29;"2024-04-19 16:05:57"
61.04;2.29;"2024-04-19 16:05:58"
61.04;2.29;"2024-04-19 16:06:00"
61.04;2.29;"2024-04-19 16:06:01"
61.04;2.29;"2024-04-19 16:06:03"
61.04;2.34;"2024-04-19 16:06:04"
61.04;2.29;"2024-04-19 16:06:06"
61.04;2.29;"2024-04-19 16:06:07"
61.04;2.34;"2024-04-19 16:06:09"
61.04;2.29;"2024-04-19 16:06:10"
61.04;2.29;"2024-04-19 16:06:12"
61.04;2.29;"2024-04-19 16:06:13"
61.04;2.29;"2024-04-19 16:06:15"
61.04;2.29;"2024-04-19 16:06:16"
61.04;2.29;"2024-04-19 16:06:18"
61.04;2.29;"2024-04-19 16:06:19"
61.04;2.29;"2024-04-19 16:06:21"
61.04;2.29;"2024-04-19 16:06:22"
61.04;2.34;"2024-04-19 16:06:24"
61.04;2.29;"2024-04-19 16:06:25"
61.04;2.29;"2024-04-19 16:06:27"
61.04;2.34;"2024-04-19 16:06:28"
61.04;2.29;"2024-04-19 16:06:30"
61.04;2.29;"2024-04-19 16:06:31"
61.04;2.29;"2024-04-19 16:06:33"
61.04;2.29;"2024-04-19 16:06:34"
61.04;2.29;"2024-04-19 16:06:36"
61.04;2.34;"2024-04-19 16:06:38"
61.04;2.29;"2024-04-19 16:06:39"
61.04;2.29;"2024-04-19 16:06:41"
